Caption,Likes,Views,Comments,Shares,Post Type,Creator
"Dharamshala photo dump. 
Aka photos from an inner & outer healing journey.

So much has happened in Dharmsala that I can't possibly put it into a single caption. All I'll say is the following :

Spent years spending long days, 
Waiting to fall asleep,
For my life was harsh & sombre, 
Until I found your mystique...

Now my days are bright & rainy,
A lonely past they do replace.
Now my sleep, no matter how warm.
Is left behind for the prettiest face.

Don't know how to thank you more deeply?
There's so much I wish to give you!
You're the rain & clouds for my dry greenery.
You're the healing my heart feels with you.",309519,,627,,Carousel,beerbiceps
"Special thank you to @tigerjackieshroff & @kishushroff for making one of the conversations of the YEAR happen.

Jaggu dada's messages for living a fulfilled life. New episode of @theranveershowpodcast now live!

Edit : @ig_niraj___ 

#jackieshroff #theranveershow",61311,534083,181,534083,Reel,beerbiceps
"Viral podcasts feel good...

Especially if it's for a big brother. Thank you for everything @thejohnabraham.

Spoke about him on BeerBiceps back in 2016.

Hosted him on BeerBiceps in 2022.

Hosted him at home in 2024.

Finally the world gets to know one of the greatest hearts I've had the pleasure of knowing for the last 2 years.

Mentor, idol, bro ♥️💪🏼

Don't miss this special episode of @theranveershowpodcast with this self made lion that the world calls @thejohnabraham 🦁

Another iconic, evergreen #TheRanveerShow episode in the books. Boomshakalaka 👑",294794,,369,,Carousel,beerbiceps
"9 years of BeerBiceps. I now enter my 10th.

At the beginning of my career, my mind was full of ideas, but my heart was full of self doubt. 

It took delusion, shamanic healing, meditation, books, mentors, therapy & luck to get this far.

Somewhere along the way, a false sense of self belief was born in me. I took this ""false self belief"" & executed upon ideas incessantly.

Eventually, my team and I started receiving public adulation as well as growth in numbers. The false self belief turned into real self belief. 

The 9 year journey has perpetually been about execution. Perhaps only to feel better about myself and my capabilities.

The highs have never been celebrated enough or enjoyed completely. That is just how I believe a true warrior should live life. It may simply be a mechanism that protects one over time.

The lows have always been met with grief, heightened discipline & harsher self talk. It has not been an easy journey for me. 

There's definitely a part of my mind and heart that feels torn apart and shredded thanks to the stories of the last 9 years. 

But there's also a part of me that's trying to become more 'still' with time. 

More detached. More process driven.

I tell myself that I'm born to be a GOAT.
I tell myself that I'm born for an infinitely long journey of improvement.
I tell myself that sadness, pain & strife can't pierce my heart.

All of the above 3 lines are lies. 

But they help me carry on. 
They help me focus on the week at hand. 
They help me get better every year.

In my head, I'm already the GOAT I wish to become. In my heart, I feel the bruises of years of negative self talk.

But I carry on with the biggest lesson I learnt from Yogananda Paramhansa : Wake up every morning with faith in God & a warrior spirit. No difficulty can beat the bravery within a spiritual heart.

Samurai mentality : Detachment, constant improvement & ferocity in execution.

Now... it's time to reinvent 🕷️

Thank you for the support over the last 9 years. Onto bigger things.

-

Outfit : @abhishti 
Styling : @hellomisskiara 
Photo : @through_the_glass_eye",227415,,977,,Carousel,beerbiceps
"Banaras photo dump.

There are ""places your soul visits"".

And then there's ""places that visit your soul.""

For seekers : Ican't even begin to explain what awaits you in Banaras.

The less I say the better. Visit at some point soon. Understand Kaal Bhairav.

All I'll say is this :

Met a smart kid called Kushagra.

He asked me, ""How do people in other cities NOT pray to God? How do they take care of their minds? Don't they feel anxious or weak? I can't imagine a life without this degree of spiritual energy in the air.""

All I said is, ""Brother, you've earned your birth in this city. Consider yourself lucky.""
---
Barely shot on this vacation.

Simply visited my deity Kaal Bhairav's temple. 
Absorbed what I was meant to absorb. 

Apologised for not being better than I could have been.

Forgave myself. Dusted the dirt off my astral shoulders 😉

Returned charged like Hindu Thor in a Thor climax 😄

A new phase begins...

Om Namah Shivaay.
Har Har Mahadev 🔱♥️

Location : @thegangahouse @stayvista_official",466717,,977,,Carousel,beerbiceps
"To my beloved...

To my one and only true love...

I miss you paneer butter masala.

Especially the one from Hardeep Punjab in Sion Koliwada.

That's right, that's where my vote goes.

Now you go vote in the Green Dot Veg Awards live on Swiggy app!",1197691,3719520,1461,3719520,Reel,beerbiceps
"July photo dump.

Been a year that's had extremely high highs. 
Been a year balanced out by terrible lows.

I've come to realise that the questions that matter are :
- Are you getting better at being a human being? 
- Are you becoming a more helpful professional?
- Are you doing your best for your family?
- Are you doing your best for your body?
- Is my girl secure & taken care of?
- Is my team motivated & calm?
- Am I okay battling the world?
- Am I meditating deeper?
- Am I kinder every day?

The answer in all cases should be 'yes' or ""I'm going to get it done.""

Detached samurai mentality - 2024.",510626,,740,,Carousel,beerbiceps
How many of you know the story of BeerBiceps and How BeerBiceps became 100 crores Media Giant? #influencer #contentcreator #brands #brandstrategy,46617,363084,156,363084,Reel,beerbiceps
"#ad #samsungcorporateplus 

In my eyes, the working professionals that STAND OUT are the human beings that constantly upgrade.

Upskilling or “upgrading” begins with knowledge & tools.

For knowledge : Watch TRS 😉

For tools : Buy Samsung 😉😉

Check out Samsung’s Corporate Plus Program for some amazing deals like:

* Up to 10% additional discount on Galaxy AI products
* Welcome vouchers up to Rs 2500 on first time corporate plus store  app purchase
* Free ADLD insurance on selected smartphones and tablets
* Free 1-year extended warranty on selected laptops

and many more. 

@samsungindia",16908,300059,63,300059,Reel,beerbiceps
"The Buddha was once approached by a man who said, ""I want peace.""

To which the Buddha replied, 
""Remove 'I' to remove the ego. 
Remove 'want' to remove desire. 
You are left with peace.""

Easy in theory, difficult in practice.

But 31 years of living on this planet have taught me a few key lessons :
1. There is no end to life's challenges & aches. Pain is compulsory & suffering is optional.

2. The way your mind processes suffering can be drastically changed if ""spiritual practices"" are a central theme in your life.

3. Meditating, journaling & manifesting are modern & 'cool' alternatives to deeper, more ancient practices.

4. These deeper practices are often rejected by modern humans because they seem to be ""illogical"" or ""orthodox"".

5. Every religion contains evil humans that manipulate other people into accepting twisted forms of rituals under the garb of religion. Knowledge is power. Protect yourself by questioning everything. Move forward with a ritual if it makes sense to YOU.

6. Before jumping to conclusions about rituals of ANY faith, always try experiencing those rituals yourself. Replace judgement with curiosity.

7. Rituals if done with understanding & emotion can be a much more powerful spiritual practice than you'd think!

In this video, my elder brother and mentor @om.dhumatkar is conducting a Hanumana havan for @teambeerbiceps in our office. 

Immensely powerful experience because everyone was vibrating on the same frequency. This 2 hour havan (along with its explanations) left us all feeling purified & enhanced.

Unfortunately I had to sit on a chair because I've torn my knee ligament. But when the heart contains love & respect, the ritual allows for a tiny bending of rules (ideally I should have been on the floor.) 

Love growing older because of experiences like this. 

Healing more every year, Aum Hum Hanumate Namaha!

#hindu #spiritual #positivity",890160,5545004,5737,5545004,Reel,beerbiceps
