Caption,Likes,Views,Comments,Shares,Post Type
"Sweat dries, blood clots, bones heal ; only strong men & women become police officers.
#narcotics #indianpolice
#infosec #learncodeonline #hacking #informationsecurity #ethicalhacking",2065,,46,,Photo
"I am just your guy! Oh wait, you love computers? I am your computer guy & you're my family in the kingdom of LCO! 
#jampacked #housefull #lco #learncodeonline",615,,6,,Photo
This was the most electrifying crowd that i have ever seen!,296,,2,,Photo
"Level SuperMind x Hitesh Chaudhary are bringing a 24-hour GenAI Hackathon to Mumbai this Jan 18-19. 

Prizes worth 3lakhs up for grab

Register on hack.level.game",15462,159796.0,135,159796.0,Reel
"Wo product, wo hustle, wo ups and down, wo network, wo vision. Sab boley bas karo ye product bohot time le rah hai, youtube pe wapis aa jao, hatao isey. 
Ab jab launching se bohot kareeb hu to lagta hai saari problems worth it thi or ye process jiney ka mene puura maza liya. 

Sab sach hoga or real life problem bhi solve huegi. 

2025 ki taiyari almost set hai, ham jald hi comeback kar rae hai! 

Developers bhi khush huengey or unki seekhi hui skills ka reward bhi milega. 

Bekaar hiring ki wajah se company ka budget bhi bachega or bina skill walay talents ki wajah toxic mahol me bhi kami dekhney ko milegi. 

-JabFounderBola

#product  #launchingreallysoon #tech #hiring #programmers #coders #foundersdiary",992,,10,,Photo
Chill mode is natural! 😁😎,526,,3,,Photo
"Sharp, sleek, & forever classy is my preference! 

#jaipur #rajasthan",504,,6,,Photo
"We know each other from so long but finally met in-person with @harshiljkaria , he is redefining the boundaries of tech, branding and mindfulness. Wonderful painting in the back at @schbang  office where they are revolutionising how brands connect with the world, while his @levelsupermind app is helping people unlock the power of meditation and mental well-being. Conversations like these inspire me to think bigger, dream bolder and strive for meaningful impact. Here’s to innovation, mindfulness and making world a better place—one idea at a time 🚀",634,,4,,Photo
"Some very cool clicks from my favourite CyberSec 👾event of India 🇮🇳 @bsidesahmedabad 
It’s always nice catching up with so many hacking 👨🏻‍💻friends, they always make my October super awesome! 

#hacking #ethicalhacking #cybersecurity #informationsecurity #kalilinux #computerscience #linux #pentesting #appsec",432,,5,,Carousel
"Spotlight must agree, i am a show you got to see! ✨
I make sure that the audi gets electrifying with my energetic aura. ⚡️ 
Hope you guys enjoyed my presence 🚀
Thank you @bsidesahmedabad 
@imniksri @sk_pandey1337 @jinen2411  for making me a part of this awesome infosec conference yet againnn!!! 
See you again next year! 

LatePostBestPost.

#hacking  #informationsecurity #cybersecurity #ethicalhacking #bugbounty #kalilinux #computerscience",318,4082.0,22,4082.0,Reel
"Happy diwali from your friendly neighbourhood techies! 🪔

#tech #computerscience #programming #hiteshchoudhary",9297,,46,,Photo
"Sometimes, you realize you are living a once-in-a-lifetime opportunity—one where you meet and interact with a true legend in person. I had the privilege of meeting @kondavishweshwarreddy sir, a distinguished leader who has held prominent roles such as CEO and MD at Wipro HCIT, MD and Director at Citadel, MD and CEO at GE Healthcare, and is currently serving as a Member of Parliament with the BJP.

What fascinated me even more was discovering that, back in 1985—before I was even born—he was a computer science faculty member at the New Jersey Institute of Technology and Essex County College. Engaging with someone of his vast experience is a unique opportunity for learning, and I took full advantage by asking countless questions about his teaching and research. His insight into the future of technology and where humanity is headed is nothing short of extraordinary, and I found myself in complete agreement with his perspectives.

Here’s a quick glimpse of my remarkable experience with him. Thank you, Sir, for your valuable time during @bsidesahmedabad 

#bsides #ahmedabad #cybersecurity #hacking #infosec #vishweshwarreddykonda sir",214,,2,,Carousel
"Always a fun to catchup with the real OG @iamrahultyagi . He motivates me to achieve heights and go to the next level! 🚀
A lot of must needed discussions and so much of learnings! Had a great time at Ahmedabad @bsidesahmedabad networking dinner party! 
It’s always a joy meeting up with you man!",215,,2,,Photo
"Join us on 18th October 2024 for a thrilling night session of Kali Linux x Ethical Hacking Xtreme with none other than Saksham Choudhary - internet personality, YouTuber with 135k+ subscribers, and certified ethical hacking expert! 💻

Learn about OTPs and gateway security, run Kali Linux on AWS Cloud, and explore the darknet. Whether you’re an aspiring hacker or just want to sharpen your cybersecurity skills, this hands-on session is packed with the most valuable insights and live demonstrations! ✨

Register now at aaruush.org or via link in bio!

#EthicalHackingXtreme #KaliLinuxMasterclass #CyberSecurity101 #HackTheFuture #DarknetExploration #Seeyouattheevent #Aaruush #SRMIST",448,,20,,Photo
"All you need is the plan, the road map, and the courage to press on to your destination

#jaipur",221,,3,,Photo
"You’re allowed to be both ; A masterpiece & a work in progress simultaneously! 

#jaipur #india",278,,11,,Photo
"I never switched side, i switched lanes. 
Got older & realised,
Everybody ain’t the same! 

#jaipur #jaipurtalks #jaipurcity #sunday",188,,7,,Carousel
"#jaipurdiaries : 400 Nos of steep steps to reach to the Temple. (Stair inclination is between 15 to 45 deg), it’s garh ganesh.
The temple was built by Maharaja Sawai Jai Singh II when he performed the “Ashwamegha Yagya” before the establishment of Jaipur. He made the shrine and placed the statue of Lord Ganesha before he kept the foundation stone of Jaipur.

#jaipur #jaipurtalks #jaipurcity #jaipurlove #garhganesh #pinkcityjaipur",324,,2,,Carousel
"Wherever you stand,
Stand tall & strong!",144,,1,,Photo
